date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:51	1037/1037	---M--	200	added ('OK')	text/html	etag:%228c8cb55db8be2ea3f95d2470ce6a5b04%22	https://storage.googleapis.com/strangeloop2017/slide54.html	./storage.googleapis.com/strangeloop2017/slide54.html	(from )
22:26:52	1037/1037	---M--	200	added ('OK')	text/html	etag:%2282a5e602613133cad050e826ce9ff073%22	https://storage.googleapis.com/strangeloop2017/slide55.html	./storage.googleapis.com/strangeloop2017/slide55.html	(from )
22:26:53	1037/1037	---M--	200	added ('OK')	text/html	etag:%22cee47122d3662b0ace9b80cc7e59f370%22	https://storage.googleapis.com/strangeloop2017/slide56.html	./storage.googleapis.com/strangeloop2017/slide56.html	(from )
22:26:54	1037/1037	---M--	200	added ('OK')	text/html	etag:%222485a65e21fbe3a2f76e17489138c6b6%22	https://storage.googleapis.com/strangeloop2017/slide57.html	./storage.googleapis.com/strangeloop2017/slide57.html	(from )
22:26:55	1037/1037	---M--	200	added ('OK')	text/html	etag:%221d2e78ff3423915ee9d2d6c2a7a18692%22	https://storage.googleapis.com/strangeloop2017/slide58.html	./storage.googleapis.com/strangeloop2017/slide58.html	(from )
22:26:56	1037/1037	---M--	200	added ('OK')	text/html	etag:%22064df61c325beaae6431af94afe753a6%22	https://storage.googleapis.com/strangeloop2017/slide59.html	./storage.googleapis.com/strangeloop2017/slide59.html	(from )
22:26:57	1037/1037	---M--	200	added ('OK')	text/html	etag:%22054a9881e13e77d0765b89a7cd0786e8%22	https://storage.googleapis.com/strangeloop2017/slide60.html	./storage.googleapis.com/strangeloop2017/slide60.html	(from )
22:26:59	133/133	---M--	404	error ('Not%20Found')	application/xml	date:Fri,%2020%20Oct%202017%2005:26:58%20GMT	https://storage.googleapis.com/robots.txt		(from )
22:26:59	116039/116039	U-----	200	untouched ('')	image/png	etag:%22563a13109cec5036b93e97b4408fd63b%22	https://storage.googleapis.com/strangeloop2017/img/slide0.png	./storage.googleapis.com/strangeloop2017/img/slide0.png	(from https://storage.googleapis.com/strangeloop2017/slide0.html)
22:26:59	358/358	U-----	200	untouched ('')	text/javascript	etag:%22231a86f45c92a371b72acc5f85980ae8%22	https://storage.googleapis.com/strangeloop2017/transition.js	./storage.googleapis.com/strangeloop2017/transition.js	(from https://storage.googleapis.com/strangeloop2017/slide0.html)
22:27:00	124825/124825	---M--	200	added ('OK')	image/png	etag:%226b36f2cf72ef4ca8fe89e6f86aeac79b%22	https://storage.googleapis.com/strangeloop2017/img/slide1.png	./storage.googleapis.com/strangeloop2017/img/slide1.png	(from https://storage.googleapis.com/strangeloop2017/slide1.html)
22:27:01	79289/79289	---M--	200	added ('OK')	image/png	etag:%2225e5521a8403163afc9a70b24a88e776%22	https://storage.googleapis.com/strangeloop2017/img/slide2.png	./storage.googleapis.com/strangeloop2017/img/slide2.png	(from https://storage.googleapis.com/strangeloop2017/slide2.html)
22:27:02	71419/71419	---M--	200	added ('OK')	text/javascript	etag:%224d210086bed42894d3b1e61b919d73af%22	https://storage.googleapis.com/strangeloop2017/lodash.min.js	./storage.googleapis.com/strangeloop2017/lodash.min.js	(from https://storage.googleapis.com/strangeloop2017/slide3.html)
22:27:02	2789/2789	---M--	200	added ('OK')	text/javascript	etag:%22325de39c923edec9ff572ec2035f7f6c%22	https://storage.googleapis.com/strangeloop2017/lib/Server.js	./storage.googleapis.com/strangeloop2017/lib/Server.js	(from https://storage.googleapis.com/strangeloop2017/slide3.html)
22:27:03	1603/1603	---M--	200	added ('OK')	text/javascript	etag:%2249a640f20fbb59fbf2e8df12eeb6786c%22	https://storage.googleapis.com/strangeloop2017/lib/Request.js	./storage.googleapis.com/strangeloop2017/lib/Request.js	(from https://storage.googleapis.com/strangeloop2017/slide3.html)
22:27:04	7536/7536	---M--	200	added ('OK')	text/javascript	etag:%22ea7617e994f70579d78f089397f220c4%22	https://storage.googleapis.com/strangeloop2017/lib/WindowHistogram.js	./storage.googleapis.com/strangeloop2017/lib/WindowHistogram.js	(from https://storage.googleapis.com/strangeloop2017/slide3.html)
